"K","1","2","3","4","5"
"K",NA,4.29765161990084,5.8804766012247,5.90331281044961,5.48883476575939,6.31626131194821
"1",NA,NA,3.54666474211882,4.88270780854563,4.97413475508762,5.67733083775703
"2",NA,NA,NA,2.94815963183378,4.24586869365762,5.14765490667674
"3",NA,NA,NA,NA,3.04986285840053,4.78549837932255
"4",NA,NA,NA,NA,NA,3.1754249263783
"5",NA,NA,NA,NA,NA,NA
