"K","1","2","3","4","5"
"K",NA,4.31599992344453,5.92878116923887,5.97914527573989,5.59317075552969,6.50900298997715
"1",NA,NA,3.56677227189485,4.92697343174124,5.04283730155468,5.8118805128345
"2",NA,NA,NA,2.96073598165961,4.28973300329188,5.24098967875247
"3",NA,NA,NA,NA,3.06480471591489,4.82547097317984
"4",NA,NA,NA,NA,NA,3.18754561154559
"5",NA,NA,NA,NA,NA,NA
