"K","1","2","3","4","5"
"K",NA,4.33422431243843,5.95394520024909,5.98913014779416,5.57907530463686,6.39899211214916
"1",NA,NA,3.57228332833275,4.92435640527018,5.00980344778116,5.68347174136196
"2",NA,NA,NA,2.95881326800493,4.24530769590395,5.1093241567118
"3",NA,NA,NA,NA,3.04681728406732,4.76453164929974
"4",NA,NA,NA,NA,NA,3.16762287587986
"5",NA,NA,NA,NA,NA,NA
